airline,airline_id,src_airport,src_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment
MD,1066,SMS,920,TMM,921,,0,AT5 AT7
MD,1066,SMS,920,TNR,918,,0,AT7 AT5
MD,1066,SVB,933,DIE,923,,0,733
MD,1066,SVB,933,TNR,918,,0,733
MD,1066,SVB,933,WMN,932,,0,AT7
MD,1066,TLE,943,FTU,937,,0,733
MD,1066,TLE,943,MOQ,922,,0,AT7
MD,1066,TLE,943,TNR,918,,0,733 AT7
MD,1066,TMM,921,ANM,927,,0,AT5 DHT
MD,1066,TMM,921,RUN,916,,0,AT5
MD,1066,TMM,921,SMS,920,,0,AT7 AT5
MD,1066,TMM,921,TNR,918,,0,DHT AT5 AT7
MD,1066,TMM,921,WMN,932,,0,DHT
MD,1066,TMM,921,WMR,924,,0,DHT
MD,1066,TNR,918,ANM,927,,0,AT5
MD,1066,TNR,918,BKK,3885,,0,343
MD,1066,TNR,918,CDG,1382,,0,343
MD,1066,TNR,918,DIE,923,,0,733 AT7
MD,1066,TNR,918,DZA,915,,0,AT7 733
MD,1066,TNR,918,FTU,937,,0,733 AT7
MD,1066,TNR,918,HAH,912,,0,733 AT7
MD,1066,TNR,918,JNB,813,,0,733
MD,1066,TNR,918,MJN,929,,0,AT7 AT5
MD,1066,TNR,918,MOQ,922,,0,DHT AT7
MD,1066,TNR,918,MRS,1353,,0,343
MD,1066,TNR,918,MRU,893,,0,733
MD,1066,TNR,918,NOS,930,,0,733 AT7
MD,1066,TNR,918,RUN,916,,0,733
MD,1066,TNR,918,SMS,920,,0,AT7 AT5
MD,1066,TNR,918,SVB,933,,0,733
MD,1066,TNR,918,TLE,943,,0,733 AT7
MD,1066,TNR,918,TMM,921,,0,DHT AT7 AT5
MD,1066,TNR,918,WMN,932,,0,AT5 AT7
MD,1066,WMN,932,ANM,927,,0,DHT AT5
MD,1066,WMN,932,SVB,933,,0,AT7
MD,1066,WMN,932,TMM,921,,0,DHT
MD,1066,WMN,932,TNR,918,,0,AT5 AT7
MD,1066,WMR,924,TMM,921,,0,DHT
ME,3490,ABJ,253,ACC,248,,0,332
ME,3490,ABJ,253,LOS,273,,0,332
ME,3490,ACC,248,ABJ,253,,0,332
ME,3490,ACC,248,BEY,2177,,0,332
ME,3490,AMM,2170,BEY,2177,,0,321 320
ME,3490,ATH,3941,BEY,2177,,0,320
ME,3490,AUH,2179,BEY,2177,,0,320
ME,3490,BEY,2177,ACC,248,,0,332
ME,3490,BEY,2177,AMM,2170,,0,321 320
ME,3490,BEY,2177,ATH,3941,,0,320
ME,3490,BEY,2177,AUH,2179,,0,320
ME,3490,BEY,2177,BGW,4130,,0,321 320
ME,3490,BEY,2177,BRU,302,,0,320
ME,3490,BEY,2177,BSR,2234,,0,320
ME,3490,BEY,2177,CAI,1128,,0,320 321
ME,3490,BEY,2177,CDG,1382,,0,332
ME,3490,BEY,2177,DMM,2064,,0,320
ME,3490,BEY,2177,DOH,11051,,0,320
ME,3490,BEY,2177,DXB,2188,,0,332 320
ME,3490,BEY,2177,EBL,3989,,0,321 320
ME,3490,BEY,2177,EVN,3964,,0,320
ME,3490,BEY,2177,FCO,1555,,0,32S 320 319
ME,3490,BEY,2177,FRA,340,,0,320
ME,3490,BEY,2177,GVA,1665,,0,320
ME,3490,BEY,2177,IST,1701,,0,320 332 321
ME,3490,BEY,2177,JED,2072,,0,320 332
ME,3490,BEY,2177,KAN,270,,0,332
ME,3490,BEY,2177,KWI,2176,,0,320
ME,3490,BEY,2177,LCA,1197,,0,321 320
ME,3490,BEY,2177,LHR,507,,0,320 332
ME,3490,BEY,2177,LOS,273,,0,332
ME,3490,BEY,2177,MED,2074,,0,320
ME,3490,BEY,2177,MXP,1524,,0,320
ME,3490,BEY,2177,NJF,7490,,0,321
ME,3490,BEY,2177,OTP,1657,,0,73W
ME,3490,BEY,2177,RUH,2082,,0,320 332 321
ME,3490,BEY,2177,SVO,2985,,0,320 319
ME,3490,BEY,2177,TUN,287,Y,0,320
ME,3490,BGW,4130,BEY,2177,,0,321 320
ME,3490,BRU,302,BEY,2177,,0,320
ME,3490,BSR,2234,BEY,2177,,0,320
ME,3490,CAI,1128,BEY,2177,,0,320 321
ME,3490,CDG,1382,BEY,2177,,0,332
ME,3490,DMM,2064,BEY,2177,,0,320
ME,3490,DOH,11051,BEY,2177,,0,320
ME,3490,DXB,2188,BEY,2177,,0,332 320
ME,3490,EBL,3989,BEY,2177,,0,321 320
ME,3490,EVN,3964,BEY,2177,,0,320
ME,3490,FCO,1555,BEY,2177,,0,32S 319 320
ME,3490,FRA,340,BEY,2177,,0,320
ME,3490,GVA,1665,BEY,2177,,0,320
ME,3490,IST,1701,BEY,2177,,0,320 332 321
ME,3490,JED,2072,BEY,2177,,0,320 332
ME,3490,KAN,270,BEY,2177,,0,332
ME,3490,KWI,2176,BEY,2177,,0,320
ME,3490,LCA,1197,BEY,2177,,0,321 320
ME,3490,LHR,507,BEY,2177,,0,320 332
ME,3490,LOS,273,ABJ,253,,0,332
ME,3490,LOS,273,BEY,2177,,0,332
ME,3490,MXP,1524,BEY,2177,,0,320
ME,3490,NJF,7490,BEY,2177,,0,321
ME,3490,OTP,1657,BEY,2177,Y,0,73W
ME,3490,RUH,2082,BEY,2177,,0,320 332 321
ME,3490,SVO,2985,BEY,2177,,0,319 320
ME,3490,TUN,287,BEY,2177,Y,0,320
MF,5484,BKK,3885,FOC,3385,,0,738
MF,5484,BKK,3885,XMN,3383,,0,738
MF,5484,CAN,3370,FOC,3385,,0,737
MF,5484,CAN,3370,HGH,3386,,0,737
MF,5484,CAN,3370,JJN,6386,,0,737
MF,5484,CAN,3370,XMN,3383,,0,737
MF,5484,CGK,3275,FOC,3385,,0,738
MF,5484,CGK,3275,SIN,3316,,0,738
MF,5484,CGK,3275,XMN,3383,,0,738
MF,5484,CGO,3375,FOC,3385,,0,737 738
MF,5484,CGO,3375,HGH,3386,,0,737
MF,5484,CGO,3375,HRB,3400,,0,737
MF,5484,CGO,3375,INC,4085,,0,737
MF,5484,CGO,3375,LHW,3378,,0,737
MF,5484,CGO,3375,URC,3399,,0,737
MF,5484,CGO,3375,XMN,3383,,0,738 737
MF,5484,CGO,3375,XNN,6366,,0,737
MF,5484,CGQ,4380,HGH,3386,,0,737
MF,5484,CGQ,4380,NGB,3387,,0,737
MF,5484,CGQ,4380,NKG,3388,,0,737
MF,5484,CGQ,4380,TAO,3390,,0,737
MF,5484,CJU,2370,FOC,3385,,0,738
MF,5484,CJU,2370,XMN,3383,,0,738
MF,5484,CKG,3393,CSX,3371,,0,737
MF,5484,CKG,3393,FOC,3385,,0,737
MF,5484,CKG,3393,HGH,3386,,0,737
MF,5484,CKG,3393,KHN,3384,,0,737
MF,5484,CKG,3393,KWL,3372,,0,737
MF,5484,CKG,3393,LJG,4033,,0,737
MF,5484,CKG,3393,LXA,4097,,0,737
MF,5484,CKG,3393,TSN,3368,,0,737
MF,5484,CKG,3393,WUH,3376,,0,737
MF,5484,CKG,3393,XIY,3379,,0,737
MF,5484,CKG,3393,XMN,3383,,0,737
MF,5484,CKG,3393,XNN,6366,,0,737
MF,5484,CKG,3393,YIH,6361,,0,737
MF,5484,CSX,3371,CKG,3393,,0,737
MF,5484,CSX,3371,CTU,3395,,0,737
MF,5484,CSX,3371,FOC,3385,,0,737
MF,5484,CSX,3371,HET,6345,,0,737
MF,5484,CSX,3371,HGH,3386,,0,737
MF,5484,CSX,3371,JJN,6386,,0,737
MF,5484,CSX,3371,KWE,3394,,0,737
MF,5484,CSX,3371,LHW,3378,,0,737
MF,5484,CSX,3371,LZO,6399,,0,737
MF,5484,CSX,3371,MIG,6400,,0,737
MF,5484,CSX,3371,PEK,3364,,0,737
MF,5484,CSX,3371,TAO,3390,,0,737
MF,5484,CSX,3371,TPE,2276,,0,738 330
MF,5484,CSX,3371,TYN,3369,,0,737
MF,5484,CSX,3371,URC,3399,,0,737
MF,5484,CSX,3371,XIY,3379,,0,737
MF,5484,CSX,3371,XMN,3383,,0,737
MF,5484,CTU,3395,CSX,3371,,0,737
MF,5484,CTU,3395,FOC,3385,,0,737
MF,5484,CTU,3395,HGH,3386,,0,737
MF,5484,CTU,3395,WUH,3376,,0,737
MF,5484,CTU,3395,XMN,3383,,0,737
MF,5484,CZX,4109,FOC,3385,,0,737
MF,5484,CZX,4109,TYN,3369,,0,737
MF,5484,DAT,6344,TYN,3369,,0,737
MF,5484,DLC,3404,FOC,3385,,0,738
MF,5484,DLC,3404,HGH,3386,,0,738
MF,5484,DLC,3404,TAO,3390,,0,737
MF,5484,DLC,3404,TNA,4108,,0,737
MF,5484,DLC,3404,TSN,3368,,0,737
MF,5484,DLC,3404,XMN,3383,,0,738
MF,5484,FOC,3385,BKK,3885,,0,738
MF,5484,FOC,3385,CAN,3370,,0,737
MF,5484,FOC,3385,CGK,3275,,0,738
MF,5484,FOC,3385,CGO,3375,,0,737 738
MF,5484,FOC,3385,CJU,2370,,0,738
MF,5484,FOC,3385,CKG,3393,,0,737
MF,5484,FOC,3385,CSX,3371,,0,737
MF,5484,FOC,3385,CTU,3395,,0,737
MF,5484,FOC,3385,CZX,4109,,0,737
MF,5484,FOC,3385,DLC,3404,,0,738
MF,5484,FOC,3385,HAK,4120,,0,737
MF,5484,FOC,3385,HGH,3386,,0,737 738
MF,5484,FOC,3385,HRB,3400,,0,737
MF,5484,FOC,3385,KHH,2264,,0,737 738
MF,5484,FOC,3385,KMG,3382,,0,737
MF,5484,FOC,3385,KUL,3304,,0,738
MF,5484,FOC,3385,KWE,3394,,0,737
MF,5484,FOC,3385,KWL,3372,,0,737
MF,5484,FOC,3385,MFM,3121,,0,738
MF,5484,FOC,3385,NKG,3388,,0,737
MF,5484,FOC,3385,NNG,3373,,0,737
MF,5484,FOC,3385,PEK,3364,,0,737
MF,5484,FOC,3385,SHA,3391,,0,737
MF,5484,FOC,3385,SIN,3316,,0,738
MF,5484,FOC,3385,SYX,4030,,0,737
MF,5484,FOC,3385,SZX,3374,,0,737
MF,5484,FOC,3385,TAO,3390,,0,737
MF,5484,FOC,3385,TNA,4108,,0,737
MF,5484,FOC,3385,TPE,2276,,0,738
MF,5484,FOC,3385,TSA,2275,,0,737 738
MF,5484,FOC,3385,TSN,3368,,0,738
MF,5484,FOC,3385,TYN,3369,,0,737
MF,5484,FOC,3385,WUH,3376,,0,737
MF,5484,FOC,3385,XIY,3379,,0,737
MF,5484,FOC,3385,ZUH,6355,,0,737
MF,5484,HAK,4120,FOC,3385,,0,737
MF,5484,HAK,4120,HGH,3386,,0,737
MF,5484,HAK,4120,XMN,3383,,0,737
MF,5484,HET,6345,CSX,3371,,0,737
MF,5484,HET,6345,HGH,3386,,0,737
MF,5484,HET,6345,NKG,3388,,0,737
MF,5484,HET,6345,TNA,4108,,0,737
MF,5484,HET,6345,TSN,3368,,0,737
MF,5484,HFE,3389,TYN,3369,,0,737
MF,5484,HFE,3389,XMN,3383,,0,737
MF,5484,HGH,3386,CAN,3370,,0,737
MF,5484,HGH,3386,CGO,3375,,0,737
MF,5484,HGH,3386,CGQ,4380,,0,737
MF,5484,HGH,3386,CKG,3393,,0,737
MF,5484,HGH,3386,CSX,3371,,0,737
MF,5484,HGH,3386,CTU,3395,,0,737
MF,5484,HGH,3386,DLC,3404,,0,738
MF,5484,HGH,3386,FOC,3385,,0,738 737
MF,5484,HGH,3386,HAK,4120,,0,737
MF,5484,HGH,3386,HET,6345,,0,737
MF,5484,HGH,3386,HRB,3400,,0,737
MF,5484,HGH,3386,JJN,6386,,0,737
MF,5484,HGH,3386,KMG,3382,,0,737
MF,5484,HGH,3386,KWE,3394,,0,737
MF,5484,HGH,3386,LJG,4033,,0,737
MF,5484,HGH,3386,MFM,3121,,0,738
MF,5484,HGH,3386,NNG,3373,,0,737
MF,5484,HGH,3386,PEK,3364,,0,737
MF,5484,HGH,3386,SHE,4144,,0,737
MF,5484,HGH,3386,SJW,6347,,0,737
MF,5484,HGH,3386,SYX,4030,,0,737
MF,5484,HGH,3386,SZX,3374,,0,737
MF,5484,HGH,3386,TAO,3390,,0,737
MF,5484,HGH,3386,TNA,4108,,0,737
MF,5484,HGH,3386,TPE,2276,,0,738
MF,5484,HGH,3386,TSN,3368,,0,737
MF,5484,HGH,3386,TYN,3369,,0,737
MF,5484,HGH,3386,WUH,3376,,0,737
MF,5484,HGH,3386,XIY,3379,,0,737
MF,5484,HGH,3386,XMN,3383,,0,737
MF,5484,HKG,3077,JJN,6386,,0,738
MF,5484,HKG,3077,WUS,6391,,0,738
MF,5484,HKG,3077,XMN,3383,,0,738
MF,5484,HRB,3400,CGO,3375,,0,737
MF,5484,HRB,3400,FOC,3385,,0,737
MF,5484,HRB,3400,HGH,3386,,0,737
MF,5484,HRB,3400,KHN,3384,,0,737
MF,5484,HRB,3400,NKG,3388,,0,737
MF,5484,HRB,3400,TAO,3390,,0,737
